datereceived,product,banks,community
"12/23/2012","Mortgage","Other","Hispanic"
"05/17/2012","Mortgage","Ocwen","Hispanic"
"01/26/2012","Mortgage","Nationstar Mortgage","Hispanic"
"07/03/2013","Mortgage","Citibank","Hispanic"
"08/05/2013","Money transfers","Other","Hispanic"
"04/24/2012","Mortgage","Bank of America","Hispanic"
"04/08/2013","Student loan","Sallie Mae","Hispanic"
"01/15/2013","Mortgage","JPMorgan Chase","Hispanic"
"09/05/2012","Mortgage","Bank of America","White"
"07/23/2013","Credit card","Citibank","White"
"06/15/2012","Student loan","Other","White"
"08/01/2013","Mortgage","Bank of America","White"
"07/29/2013","Bank account or service","Bank of America","White"
"11/23/2012","Mortgage","Bank of America","White"
"03/21/2013","Bank account or service","Bank of America","White"
"05/02/2012","Mortgage","Bank of America","White"
"06/20/2012","Credit card","JPMorgan Chase","White"
"05/01/2012","Bank account or service","Wells Fargo","White"
"11/29/2012","Mortgage","Other","White"
"03/07/2012","Mortgage","Wells Fargo","White"
"07/11/2012","Mortgage","Bank of America","White"
"10/11/2012","Bank account or service","OneWest Bank","White"
"07/03/2013","Bank account or service","Wells Fargo","White"
"05/25/2012","Mortgage","Bank of America","White"
"08/29/2012","Mortgage","Other","White"
"10/08/2013","Mortgage","Other","White"
"02/09/2012","Credit card","Citibank","White"
"05/10/2013","Mortgage","Bank of America","White"
"10/21/2012","Bank account or service","U.S. Bancorp","White"
"07/23/2013","Mortgage","JPMorgan Chase","White"
"05/15/2012","Mortgage","Bank of America","White"
"07/24/2013","Mortgage","Nationstar Mortgage","White"
"06/17/2013","Mortgage","Bank of America","White"
"04/03/2012","Mortgage","Other","White"
"03/12/2013","Bank account or service","U.S. Bancorp","White"
"04/09/2012","Credit card","JPMorgan Chase","White"
"11/04/2013","Money transfers","Wells Fargo","White"
"08/18/2013","Credit card","Wells Fargo","White"
"11/09/2012","Credit card","Citibank","White"
"04/26/2012","Credit card","Capital One","White"
"05/16/2013","Credit card","Citibank","White"
"11/06/2013","Consumer loan","Other","White"
"06/29/2012","Credit card","JPMorgan Chase","White"
"05/29/2012","Mortgage","Ocwen","White"
"08/24/2013","Mortgage","JPMorgan Chase","White"
"07/12/2013","Mortgage","Bank of America","White"
"09/18/2012","Mortgage","Bank of America","Hispanic"
"01/31/2013","Bank account or service","U.S. Bancorp","Hispanic"
"03/06/2013","Credit reporting","TransUnion","Hispanic"
"10/25/2013","Credit reporting","TransUnion","Hispanic"
"06/03/2013","Credit reporting","Experian","Hispanic"
"11/21/2012","Mortgage","Wells Fargo","Hispanic"
"03/29/2012","Bank account or service","U.S. Bancorp","Hispanic"
"04/03/2013","Mortgage","Bank of America","Hispanic"
"06/06/2013","Credit reporting","Experian","Hispanic"
"04/19/2012","Mortgage","Wells Fargo","Hispanic"
"03/06/2013","Credit reporting","Experian","Hispanic"
"06/19/2012","Credit card","JPMorgan Chase","Hispanic"
"04/07/2013","Mortgage","JPMorgan Chase","Hispanic"
"10/22/2013","Credit reporting","Experian","Hispanic"
"05/02/2013","Credit reporting","Other","Hispanic"
"10/21/2013","Mortgage","Nationstar Mortgage","Hispanic"
"10/09/2013","Credit reporting","Equifax","Hispanic"
"02/22/2013","Mortgage","Other","Hispanic"
"11/01/2012","Mortgage","Bank of America","Hispanic"
"05/06/2013","Mortgage","Bank of America","Hispanic"
"09/12/2012","Mortgage","Bank of America","Hispanic"
"07/17/2013","Bank account or service","Bank of America","Hispanic"
"07/16/2013","Credit reporting","TransUnion","Hispanic"
"03/06/2013","Credit reporting","Equifax","Hispanic"
"04/25/2013","Credit card","JPMorgan Chase","Hispanic"
"07/08/2013","Mortgage","Bank of America","Hispanic"
"08/21/2012","Mortgage","Bank of America","Hispanic"
"05/16/2012","Bank account or service","Wells Fargo","Hispanic"
"01/17/2012","Mortgage","JPMorgan Chase","Hispanic"
"01/16/2013","Mortgage","Bank of America","Hispanic"
"03/30/2012","Mortgage","Wells Fargo","Hispanic"
"10/22/2013","Credit reporting","Experian","Hispanic"
"02/12/2013","Credit card","Bank of America","Hispanic"
"09/04/2012","Mortgage","Green Tree Servicing, LLC","Hispanic"
"09/11/2013","Mortgage","Bank of America","Hispanic"
"05/29/2013","Credit reporting","Equifax","Hispanic"
"02/25/2013","Bank account or service","JPMorgan Chase","Hispanic"
"10/19/2012","Mortgage","Bank of America","Hispanic"
"09/10/2012","Mortgage","Ocwen","Hispanic"
"02/13/2012","Mortgage","Bank of America","Hispanic"
"05/03/2012","Bank account or service","Bank of America","Hispanic"
"02/12/2013","Bank account or service","Citibank","Hispanic"
"10/03/2013","Bank account or service","Bank of America","Hispanic"
"07/26/2012","Mortgage","Ocwen","Hispanic"
"06/04/2013","Money transfers","Wells Fargo","Hispanic"
"11/05/2013","Mortgage","Wells Fargo","Hispanic"
"02/27/2013","Credit card","Capital One","Hispanic"
"07/08/2013","Mortgage","Wells Fargo","Hispanic"
"07/02/2012","Mortgage","Bank of America","Hispanic"
"02/12/2013","Student loan","Other","Hispanic"
"01/14/2013","Mortgage","Bank of America","Hispanic"
"01/09/2013","Mortgage","Citibank","Hispanic"
"03/16/2012","Mortgage","Wells Fargo","White"
"01/17/2013","Mortgage","Bank of America","White"
"08/14/2012","Consumer loan","Wells Fargo","White"
"10/30/2013","Bank account or service","Wells Fargo","White"
"07/04/2013","Credit reporting","TransUnion","White"
"04/24/2013","Mortgage","Other","White"
"04/12/2013","Mortgage","Wells Fargo","White"
"07/09/2012","Credit card","Capital One","White"
"08/02/2013","Mortgage","Green Tree Servicing, LLC","White"
"10/16/2013","Bank account or service","Wells Fargo","White"
"12/07/2012","Mortgage","Bank of America","White"
"11/01/2012","Mortgage","Ocwen","White"
"06/28/2012","Mortgage","Wells Fargo","White"
"05/23/2013","Mortgage","Wells Fargo","White"
"03/19/2013","Mortgage","Bank of America","White"
"02/04/2013","Mortgage","Bank of America","White"
"11/14/2013","Credit card","JPMorgan Chase","White"
"09/03/2013","Mortgage","Other","White"
"02/14/2013","Mortgage","Bank of America","White"
"10/12/2012","Mortgage","Wells Fargo","White"
"12/21/2012","Mortgage","Wells Fargo","White"
"12/24/2012","Mortgage","Bank of America","White"
"03/20/2013","Credit card","Wells Fargo","White"
"02/21/2013","Credit reporting","Experian","White"
"11/18/2013","Credit reporting","TransUnion","White"
"02/09/2012","Mortgage","Bank of America","White"
"06/15/2012","Mortgage","Wells Fargo","White"
"05/17/2012","Mortgage","Wells Fargo","White"
"04/26/2012","Mortgage","Wells Fargo","White"
"07/10/2013","Mortgage","Wells Fargo","White"
"12/16/2011","Mortgage","Wells Fargo","White"
"12/05/2012","Mortgage","Other","White"
"03/09/2012","Mortgage","Other","White"
"11/05/2012","Mortgage","Bank of America","White"
"10/15/2012","Mortgage","Bank of America","White"
"10/08/2012","Mortgage","Ocwen","White"
"11/28/2012","Credit reporting","TransUnion","White"
"03/22/2012","Student loan","Sallie Mae","White"
"05/30/2012","Mortgage","Wells Fargo","White"
"01/29/2013","Credit reporting","TransUnion","White"
"05/07/2013","Mortgage","Bank of America","White"
"04/24/2013","Mortgage","Bank of America","White"
"07/09/2012","Mortgage","Wells Fargo","White"
"09/18/2013","Mortgage","Bank of America","White"
"08/01/2013","Mortgage","Green Tree Servicing, LLC","White"
"11/20/2012","Mortgage","Ocwen","White"
"11/12/2012","Mortgage","Other","White"
"01/07/2012","Mortgage","Wells Fargo","White"
"06/10/2013","Credit card","U.S. Bancorp","White"
"04/15/2013","Mortgage","Citibank","White"
"02/08/2013","Mortgage","Bank of America","White"
"06/19/2013","Mortgage","Citibank","White"
"11/05/2012","Mortgage","Bank of America","White"
"04/18/2013","Mortgage","Bank of America","White"
"12/24/2012","Mortgage","Bank of America","White"
"06/29/2013","Consumer loan","Other","White"
"05/03/2013","Mortgage","Other","White"
"01/15/2012","Credit card","JPMorgan Chase","White"
"03/18/2013","Mortgage","Wells Fargo","White"
"04/09/2012","Mortgage","Bank of America","White"
"12/19/2012","Student loan","Sallie Mae","White"
"01/25/2013","Credit card","JPMorgan Chase","White"
"05/10/2012","Mortgage","Ocwen","White"
"12/15/2011","Credit card","JPMorgan Chase","White"
"03/29/2013","Mortgage","Bank of America","White"
"11/27/2012","Mortgage","Citibank","White"
"03/11/2013","Mortgage","Citibank","White"
"02/17/2012","Credit card","Amex","White"
"10/31/2012","Credit reporting","TransUnion","White"
"11/23/2012","Mortgage","OneWest Bank","White"
"09/19/2012","Mortgage","Citibank","White"
"06/18/2013","Mortgage","Bank of America","White"
"02/26/2013","Mortgage","Ocwen","White"
"01/16/2013","Credit card","Capital One","White"
"10/17/2013","Mortgage","Wells Fargo","White"
"06/11/2012","Mortgage","Bank of America","White"
"12/31/2012","Credit reporting","Experian","White"
"07/26/2013","Credit card","Bank of America","White"
"09/04/2012","Mortgage","Bank of America","White"
"10/11/2013","Mortgage","Wells Fargo","White"
"12/20/2011","Mortgage","Bank of America","White"
"09/16/2013","Mortgage","Wells Fargo","White"
"09/26/2012","Mortgage","Bank of America","White"
"04/09/2013","Mortgage","JPMorgan Chase","White"
"05/09/2012","Mortgage","Ocwen","White"
"07/19/2012","Credit card","Amex","White"
"08/22/2013","Mortgage","Bank of America","White"
"12/14/2012","Mortgage","Bank of America","White"
"02/27/2013","Mortgage","Bank of America","White"
"03/02/2012","Mortgage","Ocwen","White"
"04/26/2013","Credit reporting","Experian","White"
"07/26/2012","Bank account or service","JPMorgan Chase","White"
"05/21/2012","Mortgage","Other","White"
"05/16/2012","Student loan","Sallie Mae","White"
"01/05/2012","Mortgage","Bank of America","White"
"07/09/2013","Mortgage","Other","White"
"10/29/2012","Bank account or service","Wells Fargo","White"
"08/12/2013","Mortgage","Ocwen","White"
"03/19/2013","Credit reporting","Equifax","White"
"03/21/2013","Credit reporting","Experian","White"
"09/28/2012","Bank account or service","Bank of America","White"
"03/16/2013","Mortgage","Other","Hispanic"
"02/12/2013","Mortgage","Other","Hispanic"
"10/20/2012","Bank account or service","Bank of America","Hispanic"
"03/21/2012","Credit card","Citibank","Hispanic"
"04/10/2013","Mortgage","Bank of America","Hispanic"
"08/22/2013","Bank account or service","Bank of America","Hispanic"
"05/11/2012","Mortgage","Ocwen","Hispanic"
"10/24/2013","Mortgage","Other","Mixed"
"02/13/2013","Credit card","GE Capital Retail","Mixed"
"05/22/2012","Mortgage","Bank of America","Mixed"
"03/28/2013","Mortgage","JPMorgan Chase","Mixed"
"08/21/2012","Mortgage","Bank of America","Mixed"
"10/24/2012","Credit reporting","JPMorgan Chase","Mixed"
"09/30/2013","Mortgage","Bank of America","Mixed"
"03/26/2012","Mortgage","JPMorgan Chase","Mixed"
"10/26/2012","Credit card","GE Capital Retail","Mixed"
"04/18/2013","Mortgage","Ocwen","Mixed"
"03/29/2012","Bank account or service","Wells Fargo","Mixed"
"05/30/2012","Mortgage","Bank of America","Mixed"
"02/07/2013","Mortgage","Ocwen","Mixed"
"07/06/2012","Mortgage","Nationstar Mortgage","Mixed"
"09/13/2012","Bank account or service","Wells Fargo","Mixed"
"03/05/2013","Student loan","Other","Mixed"
"07/29/2013","Bank account or service","JPMorgan Chase","Mixed"
"08/01/2013","Bank account or service","Bank of America","Mixed"
"03/22/2012","Mortgage","JPMorgan Chase","Mixed"
"04/19/2012","Mortgage","OneWest Bank","Mixed"
"02/07/2013","Mortgage","Bank of America","Mixed"
"07/27/2013","Bank account or service","JPMorgan Chase","Mixed"
"02/06/2013","Credit card","U.S. Bancorp","Mixed"
"04/16/2013","Credit card","Capital One","Mixed"
"05/09/2013","Bank account or service","Wells Fargo","Mixed"
"07/16/2013","Mortgage","JPMorgan Chase","Mixed"
"04/18/2013","Mortgage","JPMorgan Chase","Mixed"
"08/11/2013","Mortgage","Bank of America","White"
"08/23/2013","Credit reporting","Equifax","White"
"08/28/2013","Credit reporting","TransUnion","White"
"08/28/2013","Credit reporting","Equifax","White"
"08/28/2013","Credit reporting","Equifax","White"
"08/28/2013","Credit reporting","Equifax","White"
"10/23/2013","Mortgage","Green Tree Servicing, LLC","White"
"10/08/2012","Mortgage","JPMorgan Chase","White"
"01/06/2012","Credit card","Other","White"
"05/08/2013","Mortgage","Other","White"
"07/05/2012","Mortgage","Bank of America","White"
"02/19/2013","Mortgage","Capital One","White"
"10/02/2012","Mortgage","Wells Fargo","White"
"08/13/2012","Consumer loan","JPMorgan Chase","White"
"02/28/2012","Mortgage","Other","White"
"06/17/2013","Mortgage","Bank of America","White"
"03/27/2013","Credit card","Citibank","White"
"07/16/2013","Credit card","Discover","White"
"03/11/2013","Credit reporting","TransUnion","White"
"09/27/2012","Bank account or service","Wells Fargo","Mixed"
"02/19/2012","Mortgage","Ocwen","Mixed"
"07/23/2013","Mortgage","Bank of America","Mixed"
"07/26/2012","Credit card","Capital One","Mixed"
"12/21/2012","Mortgage","JPMorgan Chase","Mixed"
"05/18/2012","Mortgage","Select Portfolio Servicing, Inc","Mixed"
"07/19/2012","Mortgage","Ocwen","Mixed"
"10/22/2013","Credit card","Amex","Mixed"
"11/30/2012","Bank account or service","Citibank","Mixed"
"05/25/2012","Mortgage","Wells Fargo","Mixed"
"12/08/2012","Mortgage","Bank of America","Mixed"
"01/17/2012","Mortgage","Other","Mixed"
"12/03/2012","Mortgage","Bank of America","Mixed"
"06/05/2012","Mortgage","Bank of America","Mixed"
"12/05/2012","Mortgage","Other","Mixed"
"08/23/2013","Mortgage","Bank of America","Mixed"
"03/06/2012","Mortgage","JPMorgan Chase","Mixed"
"02/27/2012","Mortgage","Bank of America","Mixed"
"09/05/2013","Credit reporting","Other","Mixed"
"08/01/2012","Mortgage","Bank of America","Mixed"
"03/26/2012","Mortgage","Wells Fargo","Mixed"
"05/15/2012","Student loan","Bank of America","Mixed"
"07/26/2013","Mortgage","Wells Fargo","Mixed"
"06/12/2012","Mortgage","Other","Mixed"
"05/18/2012","Student loan","Other","Mixed"
"05/19/2012","Credit card","Citibank","Mixed"
"08/13/2013","Consumer loan","Other","Mixed"
"07/24/2013","Credit card","Amex","Mixed"
"08/08/2013","Consumer loan","Other","Mixed"
"05/15/2012","Bank account or service","JPMorgan Chase","Mixed"
"07/12/2012","Mortgage","Ocwen","Mixed"
"05/13/2013","Bank account or service","JPMorgan Chase","Mixed"
"08/20/2013","Bank account or service","U.S. Bancorp","Mixed"
"05/06/2013","Mortgage","Bank of America","Mixed"
"12/12/2011","Mortgage","Wells Fargo","Mixed"
"05/06/2013","Bank account or service","Wells Fargo","Mixed"
"12/21/2012","Mortgage","Citibank","Mixed"
"10/21/2013","Bank account or service","Wells Fargo","Mixed"
"10/13/2013","Credit card","Capital One","Mixed"
"06/27/2012","Mortgage","Bank of America","Mixed"
"09/27/2012","Mortgage","JPMorgan Chase","Mixed"
"05/08/2013","Mortgage","Bank of America","Mixed"
"10/08/2013","Bank account or service","U.S. Bancorp","Mixed"
"12/21/2012","Mortgage","JPMorgan Chase","Mixed"
"09/11/2012","Credit card","Wells Fargo","Mixed"
"11/05/2012","Mortgage","Select Portfolio Servicing, Inc","Mixed"
"12/26/2012","Mortgage","Bank of America","Mixed"
"09/13/2012","Mortgage","Bank of America","Mixed"
"02/14/2013","Mortgage","JPMorgan Chase","Mixed"
"06/14/2013","Mortgage","Other","Asian"
"10/02/2012","Mortgage","Ocwen","Asian"
"02/07/2013","Credit card","Wells Fargo","Asian"
"09/25/2013","Mortgage","Select Portfolio Servicing, Inc","Asian"
"01/18/2013","Mortgage","Bank of America","Asian"
"07/11/2013","Mortgage","Citibank","Asian"
"01/18/2013","Mortgage","Bank of America","Asian"
"12/21/2012","Mortgage","Ocwen","Asian"
"01/10/2012","Credit card","Capital One","Asian"
"01/30/2012","Mortgage","Bank of America","Asian"
"06/27/2012","Mortgage","Other","Asian"
"11/26/2012","Mortgage","Bank of America","Asian"
"04/18/2012","Bank account or service","Wells Fargo","White"
"04/05/2013","Bank account or service","Wells Fargo","White"
"07/31/2013","Bank account or service","JPMorgan Chase","White"
"01/07/2013","Mortgage","OneWest Bank","White"
"08/15/2012","Mortgage","Citibank","White"
"10/26/2012","Mortgage","Bank of America","White"
"09/06/2012","Mortgage","Bank of America","White"
"05/17/2013","Mortgage","JPMorgan Chase","White"
"04/09/2013","Mortgage","JPMorgan Chase","White"
"07/26/2012","Mortgage","Bank of America","White"
"07/09/2012","Mortgage","Select Portfolio Servicing, Inc","White"
"02/24/2013","Credit reporting","Equifax","White"
"11/13/2012","Credit card","Capital One","White"
"12/05/2012","Credit reporting","Experian","White"
"05/30/2012","Mortgage","Bank of America","White"
"07/22/2012","Credit card","Citibank","White"
"05/21/2012","Mortgage","JPMorgan Chase","White"
"09/13/2013","Mortgage","Nationstar Mortgage","White"
"12/22/2011","Mortgage","Bank of America","White"
"03/12/2013","Mortgage","Bank of America","White"
"08/29/2012","Bank account or service","Wells Fargo","White"
"04/23/2013","Mortgage","Bank of America","White"
"05/16/2012","Bank account or service","Bank of America","White"
"12/18/2012","Mortgage","Wells Fargo","White"
"06/04/2012","Mortgage","Capital One","White"
"07/10/2013","Mortgage","Select Portfolio Servicing, Inc","White"
"06/05/2013","Mortgage","Wells Fargo","White"
"12/12/2012","Mortgage","Bank of America","White"
"04/30/2013","Student loan","Sallie Mae","White"
"02/11/2013","Mortgage","Nationstar Mortgage","White"
"03/06/2013","Mortgage","OneWest Bank","White"
"01/09/2012","Mortgage","Bank of America","White"
"09/17/2012","Bank account or service","Wells Fargo","White"
"05/03/2013","Credit reporting","Equifax","White"
"02/09/2013","Credit card","Capital One","White"
"05/03/2013","Credit reporting","Experian","White"
"05/14/2012","Bank account or service","JPMorgan Chase","White"
"04/18/2012","Mortgage","Wells Fargo","White"
"01/18/2013","Mortgage","JPMorgan Chase","White"
"10/01/2012","Credit card","Wells Fargo","White"
"01/28/2013","Mortgage","Bank of America","White"
"01/30/2012","Mortgage","Ocwen","White"
"11/04/2013","Mortgage","Other","White"
"03/01/2012","Mortgage","HSBC","White"
"07/29/2013","Mortgage","Wells Fargo","White"
"08/21/2013","Mortgage","Select Portfolio Servicing, Inc","White"
"04/10/2012","Mortgage","OneWest Bank","White"
"10/09/2013","Mortgage","Citibank","White"
"09/18/2012","Credit card","Citibank","White"
"03/19/2013","Mortgage","Bank of America","White"
"11/08/2013","Mortgage","Select Portfolio Servicing, Inc","White"
"10/04/2013","Mortgage","JPMorgan Chase","White"
"10/25/2013","Mortgage","Green Tree Servicing, LLC","White"
"03/04/2013","Mortgage","SunTrust Bank","White"
"07/18/2013","Mortgage","Citibank","White"
"06/21/2013","Mortgage","Other","White"
"07/10/2012","Mortgage","Bank of America","White"
"02/15/2013","Bank account or service","JPMorgan Chase","White"
"02/13/2013","Mortgage","JPMorgan Chase","White"
"03/22/2012","Mortgage","Wells Fargo","White"
"06/12/2013","Mortgage","Citibank","White"
"04/11/2013","Mortgage","Ocwen","White"
"02/17/2012","Credit card","Citibank","White"
"01/11/2013","Mortgage","Ocwen","White"
"12/18/2012","Bank account or service","Wells Fargo","White"
"03/08/2013","Credit card","GE Capital Retail","White"
"11/05/2013","Mortgage","Green Tree Servicing, LLC","White"
"07/10/2013","Mortgage","Ocwen","White"
"02/15/2013","Bank account or service","Wells Fargo","White"
"03/21/2012","Consumer loan","Other","White"
"03/07/2012","Bank account or service","Wells Fargo","White"
"03/14/2013","Credit card","JPMorgan Chase","White"
"01/16/2012","Mortgage","JPMorgan Chase","White"
"02/08/2013","Mortgage","Citibank","White"
"01/13/2012","Mortgage","Bank of America","White"
"09/26/2013","Mortgage","OneWest Bank","White"
"10/23/2012","Mortgage","Wells Fargo","White"
"04/29/2013","Mortgage","Bank of America","White"
"05/19/2012","Mortgage","Bank of America","White"
"05/15/2013","Mortgage","Other","White"
"09/17/2013","Mortgage","Bank of America","White"
"06/11/2012","Mortgage","Other","White"
"05/20/2013","Mortgage","OneWest Bank","Hispanic"
"05/29/2013","Mortgage","Bank of America","Hispanic"
"10/11/2013","Bank account or service","Bank of America","Hispanic"
"10/03/2012","Mortgage","JPMorgan Chase","Hispanic"
"04/11/2012","Student loan","Sallie Mae","Hispanic"
"12/06/2012","Mortgage","Wells Fargo","Hispanic"
"09/13/2012","Mortgage","Wells Fargo","Hispanic"
"05/10/2013","Mortgage","JPMorgan Chase","White"
"12/25/2012","Mortgage","JPMorgan Chase","White"
"11/23/2012","Consumer loan","Other","White"
"04/18/2012","Bank account or service","Wells Fargo","White"
"11/20/2012","Bank account or service","JPMorgan Chase","White"
"10/08/2013","Mortgage","Ocwen","White"
"12/12/2012","Mortgage","Bank of America","White"
"02/08/2012","Credit card","JPMorgan Chase","White"
"04/25/2013","Mortgage","Citibank","White"
"11/01/2013","Mortgage","Ocwen","White"
"06/17/2013","Mortgage","Ocwen","White"
"06/07/2013","Credit card","Amex","White"
"03/05/2012","Bank account or service","Wells Fargo","White"
"11/12/2013","Mortgage","Ocwen","White"
"10/23/2012","Mortgage","Bank of America","White"
"09/11/2012","Mortgage","Other","White"
"07/20/2013","Mortgage","Other","White"
"01/30/2013","Mortgage","Nationstar Mortgage","White"
"04/09/2012","Credit card","GE Capital Retail","White"
"10/24/2013","Credit card","Citibank","White"
"04/03/2013","Mortgage","Wells Fargo","White"
"07/25/2013","Mortgage","Citibank","White"
"04/27/2012","Mortgage","Bank of America","White"
"07/24/2013","Mortgage","Bank of America","White"
"05/20/2012","Mortgage","Bank of America","White"
"02/14/2013","Credit card","JPMorgan Chase","White"
"08/23/2013","Mortgage","Bank of America","White"
"06/21/2012","Credit card","GE Capital Retail","White"
"03/20/2013","Credit reporting","Experian","White"
"09/18/2012","Mortgage","Wells Fargo","White"
"05/30/2012","Credit card","Citibank","White"
"06/21/2012","Mortgage","Wells Fargo","White"
"04/04/2013","Bank account or service","Bank of America","White"
"02/09/2012","Mortgage","Bank of America","White"
"07/09/2013","Bank account or service","Other","White"
"03/27/2012","Credit card","Citibank","White"
"06/19/2012","Credit card","Capital One","White"
"04/26/2013","Bank account or service","Wells Fargo","White"
"01/11/2013","Mortgage","Bank of America","White"
"11/06/2012","Mortgage","Bank of America","Hispanic"
"09/12/2013","Mortgage","Citibank","Hispanic"
"09/27/2013","Credit card","Wells Fargo","Hispanic"
"08/02/2012","Mortgage","Ocwen","Hispanic"
"07/05/2012","Bank account or service","JPMorgan Chase","Hispanic"
"09/09/2013","Bank account or service","JPMorgan Chase","Hispanic"
"01/06/2012","Mortgage","Bank of America","Hispanic"
"03/21/2013","Consumer loan","Wells Fargo","Hispanic"
"02/04/2013","Mortgage","Bank of America","Hispanic"
"05/31/2013","Bank account or service","Other","Hispanic"
"09/24/2013","Mortgage","JPMorgan Chase","Hispanic"
"05/15/2013","Mortgage","Other","Hispanic"
"01/15/2013","Mortgage","Bank of America","Hispanic"
"02/25/2013","Mortgage","Bank of America","Hispanic"
"02/13/2013","Mortgage","Citibank","Hispanic"
"05/23/2013","Mortgage","Wells Fargo","Hispanic"
"03/31/2012","Mortgage","Bank of America","Hispanic"
"06/01/2012","Mortgage","Bank of America","Hispanic"
"08/21/2012","Credit card","Capital One","Hispanic"
"08/29/2013","Mortgage","Green Tree Servicing, LLC","White"
"09/05/2012","Credit card","Citibank","White"
"08/06/2012","Credit card","Citibank","White"
"01/29/2013","Mortgage","Nationstar Mortgage","White"
"06/12/2012","Mortgage","Other","White"
"08/31/2012","Credit card","Bank of America","White"
"05/31/2012","Bank account or service","Wells Fargo","White"
"09/02/2013","Mortgage","Citibank","White"
"02/01/2012","Mortgage","Wells Fargo","White"
"11/20/2012","Mortgage","HSBC","White"
"03/10/2012","Mortgage","JPMorgan Chase","White"
"07/23/2012","Mortgage","Wells Fargo","White"
"05/01/2013","Mortgage","Bank of America","White"
"05/15/2012","Mortgage","Wells Fargo","White"
"07/13/2012","Mortgage","Citibank","White"
"05/19/2012","Mortgage","Bank of America","White"
"08/01/2013","Mortgage","Select Portfolio Servicing, Inc","White"
"02/27/2013","Mortgage","Ocwen","White"
"04/19/2013","Mortgage","Bank of America","White"
"06/01/2012","Credit card","Citibank","White"
"05/23/2013","Mortgage","Wells Fargo","White"
"04/02/2012","Mortgage","Bank of America","White"
"12/17/2012","Mortgage","JPMorgan Chase","White"
"08/19/2013","Mortgage","Wells Fargo","White"
"02/04/2013","Mortgage","Bank of America","White"
"12/29/2012","Mortgage","Bank of America","White"
"05/16/2012","Mortgage","Other","White"
"04/08/2013","Mortgage","JPMorgan Chase","White"
"09/27/2012","Mortgage","Nationstar Mortgage","White"
"05/10/2012","Mortgage","Bank of America","White"
"05/03/2013","Bank account or service","Wells Fargo","White"
"05/25/2012","Bank account or service","Wells Fargo","White"
"09/18/2012","Credit card","Wells Fargo","White"
"04/13/2012","Bank account or service","Wells Fargo","White"
"12/19/2012","Mortgage","Wells Fargo","White"
"09/25/2012","Mortgage","Select Portfolio Servicing, Inc","White"
"04/23/2012","Mortgage","Bank of America","White"
"08/15/2012","Mortgage","Wells Fargo","White"
"11/04/2013","Bank account or service","Wells Fargo","White"
"02/15/2013","Mortgage","Wells Fargo","White"
"03/26/2013","Mortgage","Wells Fargo","White"
"04/07/2013","Mortgage","Wells Fargo","White"
"10/04/2013","Mortgage","Ocwen","White"
"06/13/2013","Bank account or service","U.S. Bancorp","White"
"04/27/2012","Credit card","Bank of America","White"
"05/21/2012","Mortgage","Bank of America","White"
"04/16/2012","Consumer loan","Other","White"
"02/22/2012","Mortgage","U.S. Bancorp","White"
"11/16/2013","Student loan","Other","White"
"09/28/2012","Mortgage","PNC Bank","White"
"12/16/2011","Mortgage","Bank of America","White"
"10/30/2012","Mortgage","Wells Fargo","White"
"07/29/2013","Mortgage","Select Portfolio Servicing, Inc","White"
"05/01/2012","Mortgage","Bank of America","White"
"06/28/2013","Mortgage","Bank of America","White"
"06/24/2013","Mortgage","Bank of America","White"
"06/02/2012","Mortgage","Nationstar Mortgage","White"
"10/22/2013","Mortgage","Bank of America","White"
"01/04/2012","Mortgage","JPMorgan Chase","White"
"05/15/2013","Mortgage","Bank of America","White"
"07/05/2013","Mortgage","OneWest Bank","White"
"06/11/2013","Mortgage","Bank of America","White"
"08/25/2013","Mortgage","Other","White"
"03/01/2013","Mortgage","Bank of America","White"
"05/03/2013","Mortgage","Ocwen","White"
"05/08/2013","Mortgage","JPMorgan Chase","White"
"02/07/2012","Mortgage","Bank of America","White"
"09/25/2012","Bank account or service","JPMorgan Chase","White"
"06/18/2012","Mortgage","Other","White"
"02/17/2012","Mortgage","Bank of America","White"
"12/06/2012","Mortgage","Ocwen","White"
"05/03/2013","Mortgage","Other","White"
"06/07/2013","Mortgage","Bank of America","White"
"03/22/2013","Mortgage","Wells Fargo","White"
"08/16/2012","Mortgage","Bank of America","White"
"01/07/2013","Mortgage","Ocwen","White"
"03/22/2013","Mortgage","JPMorgan Chase","White"
"10/12/2012","Mortgage","Bank of America","White"
"11/19/2012","Mortgage","JPMorgan Chase","White"
"10/22/2013","Credit reporting","Citibank","White"
"07/19/2013","Mortgage","Other","White"
"03/14/2013","Credit reporting","TransUnion","White"
"11/15/2012","Mortgage","Wells Fargo","White"
"03/21/2013","Mortgage","Nationstar Mortgage","White"
"08/28/2012","Mortgage","Wells Fargo","White"
"03/14/2013","Mortgage","JPMorgan Chase","White"
"01/07/2013","Mortgage","Ocwen","White"
"01/23/2013","Mortgage","Bank of America","White"
"03/28/2013","Mortgage","Bank of America","White"
"03/04/2013","Mortgage","Wells Fargo","White"
"05/13/2013","Mortgage","Bank of America","White"
"12/11/2012","Mortgage","Nationstar Mortgage","White"
"12/19/2012","Mortgage","Bank of America","White"
"03/26/2013","Mortgage","Other","White"
"07/26/2013","Student loan","Sallie Mae","White"
"09/05/2012","Mortgage","Bank of America","White"
"03/14/2013","Credit reporting","Experian","White"
"02/05/2013","Student loan","Sallie Mae","White"
